day_of_year,hour,consumption
1,0,0.136863518
1,1,0.12899531
1,2,0.122148009
1,3,0.118198436
1,4,0.118115939
1,5,0.119219344
1,6,0.120147442
1,7,0.120724925
1,8,0.122684243
1,9,0.128376578
1,10,0.134491712
1,11,0.140122174
1,12,0.144649229
1,13,0.148670987
1,14,0.151579028
1,15,0.155951401
1,16,0.16696483
1,17,0.16996568
1,18,0.170945339
1,19,0.170223485
1,20,0.166655464
1,21,0.15950911
1,22,0.151568716
1,23,0.141782438
2,0,0.134687644
2,1,0.130655574
2,2,0.128520949
2,3,0.128881876
2,4,0.13345018
2,5,0.144711103
2,6,0.175926132
2,7,0.197726123
2,8,0.209079855
2,9,0.215514668
2,10,0.215844658
2,11,0.216504639
2,12,0.217422425
2,13,0.217742103
2,14,0.21467938
2,15,0.217989596
2,16,0.227033395
2,17,0.227755249
2,18,0.224847209
2,19,0.222526964
2,20,0.217927723
2,21,0.204635297
2,22,0.189816665
2,23,0.176256122
3,0,0.167047328
3,1,0.16054033
3,2,0.157364172
3,3,0.157704475
3,4,0.162159345
3,5,0.171254705
3,6,0.196251478
3,7,0.21543217
3,8,0.22274352
3,9,0.228796781
3,10,0.228590537
3,11,0.229157708
3,12,0.229467074
3,13,0.229198957
3,14,0.227188078
3,15,0.229322704
3,16,0.23872743
3,17,0.239273977
3,18,0.236922795
3,19,0.235035662
3,20,0.227786186
3,21,0.21458657
3,22,0.199097645
3,23,0.185598976
4,0,0.174637107
4,1,0.169388197
4,2,0.165871737
4,3,0.166047044
4,4,0.171007213
4,5,0.180226319
4,6,0.207533025
4,7,0.227837747
4,8,0.234819106
4,9,0.236252502
4,10,0.232086373
4,11,0.232364803
4,12,0.235437838
4,13,0.23863462
4,14,0.236510307
4,15,0.236005009
4,16,0.242790437
4,17,0.240346445
4,18,0.236829985
4,19,0.234282872
4,20,0.228879279
4,21,0.213813155
4,22,0.197323947
4,23,0.183289043
5,0,0.172182803
5,1,0.166397659
5,2,0.163829921
5,3,0.164314595
5,4,0.167160762
5,5,0.176101439
5,6,0.201160085
5,7,0.21828865
5,8,0.227714
5,9,0.232787603
5,10,0.231529514
5,11,0.233447584
5,12,0.232715417
5,13,0.232983535
5,14,0.230333299
5,15,0.229879562
5,16,0.236015321
5,17,0.235571897
5,18,0.232601983
5,19,0.230137367
5,20,0.223156008
5,21,0.210193573
5,22,0.195777117
5,23,0.183124048
6,0,0.172234364
6,1,0.166005796
6,2,0.161272496
6,3,0.159725666
6,4,0.159179119
6,5,0.159271929
6,6,0.161860291
6,7,0.164232097
6,8,0.171306266
6,9,0.182824994
6,10,0.191054129
6,11,0.196210229
6,12,0.197963303
6,13,0.200881656
6,14,0.199386387
6,15,0.197715811
6,16,0.202645042
6,17,0.201242583
6,18,0.199881373
6,19,0.197674562
6,20,0.192260657
6,21,0.184609004
6,22,0.177019225
6,23,0.166201727
7,0,0.15716824
7,1,0.151063418
7,2,0.147681016
7,3,0.145432957
7,4,0.147711953
7,5,0.152156511
7,6,0.163850546
7,7,0.171687818
7,8,0.181711276
7,9,0.192219408
7,10,0.196199917
7,11,0.199396699
7,12,0.199788563
7,13,0.201912876
7,14,0.200066992
7,15,0.200396983
7,16,0.207563962
7,17,0.209213914
7,18,0.206831795
7,19,0.204676546
7,20,0.19911827
7,21,0.189661982
7,22,0.180164446
7,23,0.167542313
8,0,0.157518855
8,1,0.15055812
8,2,0.14634043
8,3,0.144989532
8,4,0.145752635
8,5,0.146701357
8,6,0.150836549
8,7,0.154414883
8,8,0.160303149
8,9,0.171471262
8,10,0.17755546
8,11,0.183330292
8,12,0.185825844
8,13,0.188207962
8,14,0.186021776
8,15,0.185475229
8,16,0.192435964
8,17,0.195179009
8,18,0.196220542
8,19,0.197241449
8,20,0.192147223
8,21,0.18346435
8,22,0.175152717
8,23,0.163798985
9,0,0.155941088
9,1,0.152094638
9,2,0.150145632
9,3,0.151609964
9,4,0.155312044
9,5,0.16912008
9,6,0.203005969
9,7,0.225300946
9,8,0.234870667
9,9,0.241367353
9,10,0.241295168
9,11,0.245595355
9,12,0.245966594
9,13,0.248090908
9,14,0.242594505
9,15,0.240191762
9,16,0.244172272
9,17,0.243811345
9,18,0.239913333
9,19,0.239686465
9,20,0.234097252
9,21,0.218639264
9,22,0.202768789
9,23,0.188785445
10,0,0.179205412
10,1,0.173533702
10,2,0.169656314
10,3,0.171161896
10,4,0.173595575
10,5,0.183701531
10,6,0.212369447
10,7,0.232973222
10,8,0.241418914
10,9,0.246688448
10,10,0.24576035
10,11,0.249348996
10,12,0.250369904
10,13,0.250782392
10,14,0.245698477
10,15,0.243615413
10,16,0.248977757
10,17,0.248379649
10,18,0.244770379
10,19,0.244347579
10,20,0.238655245
10,21,0.222908515
10,22,0.207027727
10,23,0.19326094
11,0,0.182257823
11,1,0.175090844
11,2,0.172337486
11,3,0.173966814
11,4,0.178359811
11,5,0.188238899
11,6,0.216102463
11,7,0.236077195
11,8,0.243935091
11,9,0.246306897
11,10,0.244636321
11,11,0.243955715
11,12,0.242635754
11,13,0.243666974
11,14,0.24285231
11,15,0.2431823
11,16,0.249153064
11,17,0.249854294
11,18,0.245265365
11,19,0.244007276
11,20,0.239222416
11,21,0.224042857
11,22,0.207161786
11,23,0.19368374
12,0,0.181546281
12,1,0.175462083
12,2,0.171863125
12,3,0.173203711
12,4,0.17736984
12,5,0.186547698
12,6,0.213947213
12,7,0.232529798
12,8,0.23966584
12,9,0.240810494
12,10,0.235262531
12,11,0.236407185
12,12,0.235860638
12,13,0.236417497
12,14,0.233715701
12,15,0.235180033
12,16,0.242316076
12,17,0.245172555
12,18,0.242047958
12,19,0.241470475
12,20,0.236376248
12,21,0.220670768
12,22,0.204624985
12,23,0.189713543
13,0,0.178462933
13,1,0.172708726
13,2,0.170594725
13,3,0.169769749
13,4,0.174152434
13,5,0.183258106
13,6,0.210348256
13,7,0.230209553
13,8,0.237819956
13,9,0.240903304
13,10,0.240006143
13,11,0.241759217
13,12,0.244100086
13,13,0.243264798
13,14,0.239480221
13,15,0.238995547
13,16,0.242718251
13,17,0.243749471
13,18,0.240078328
13,19,0.23924304
13,20,0.232705105
13,21,0.216535576
13,22,0.202510984
13,23,0.18983729
14,0,0.17840106
14,1,0.172605604
14,2,0.169202578
14,3,0.167717621
14,4,0.16748044
14,5,0.168759153
14,6,0.177328591
14,7,0.185506166
14,8,0.195952424
14,9,0.206584303
14,10,0.211461973
14,11,0.212018832
14,12,0.211791964
14,13,0.2109773
14,14,0.206501805
14,15,0.203934067
14,16,0.211461973
14,17,0.214029711
14,18,0.212462257
14,19,0.208440499
14,20,0.202232554
14,21,0.190940695
14,22,0.181845335
14,23,0.168882899
15,0,0.156487635
15,1,0.146474489
15,2,0.142163989
15,3,0.139555003
15,4,0.140184047
15,5,0.142658975
15,6,0.148846295
15,7,0.153517721
15,8,0.161581862
15,9,0.173894629
15,10,0.182721872
15,11,0.188610138
15,12,0.19265252
15,13,0.195591497
15,14,0.190930383
15,15,0.186826127
15,16,0.191445993
15,17,0.195859615
15,18,0.19766425
15,19,0.198148923
15,20,0.194529341
15,21,0.185877405
15,22,0.177751391
15,23,0.16841885
16,0,0.160230964
16,1,0.156951684
16,2,0.155879215
16,3,0.156528884
16,4,0.161684984
16,5,0.173791507
16,6,0.205573707
16,7,0.228941152
16,8,0.239418347
16,9,0.245677853
16,10,0.245285989
16,11,0.24543036
16,12,0.243904154
16,13,0.244378516
16,14,0.240078328
16,15,0.238892425
16,16,0.244564135
16,17,0.248214654
16,18,0.244285706
16,19,0.242512007
16,20,0.235984385
16,21,0.221186378
16,22,0.205883073
16,23,0.191353183
17,0,0.182422818
17,1,0.175544581
17,2,0.173636824
17,3,0.172945906
17,4,0.175895195
17,5,0.185887717
17,6,0.212256013
17,7,0.230931407
17,8,0.240501128
17,9,0.244966311
17,10,0.245120994
17,11,0.244564135
17,12,0.243357608
17,13,0.240913616
17,14,0.237675586
17,15,0.238851176
17,16,0.245389111
17,17,0.250524587
17,18,0.24843121
17,19,0.247853727
17,20,0.240542377
17,21,0.22471315
17,22,0.20952328
17,23,0.196107107
18,0,0.185382419
18,1,0.179875705
18,2,0.176689235
18,3,0.175028971
18,4,0.178153567
18,5,0.188352333
18,6,0.217247117
18,7,0.238067449
18,8,0.247812478
18,9,0.252401407
18,10,0.253638871
18,11,0.258145303
18,12,0.259083713
18,13,0.258959966
18,14,0.253123261
18,15,0.250761767
18,16,0.255061955
18,17,0.256928463
18,18,0.253051076
18,19,0.25016366
18,20,0.242295451
18,21,0.227858371
18,22,0.21303974
18,23,0.198592348
19,0,0.187970782
19,1,0.181804086
19,2,0.178947607
19,3,0.178442309
19,4,0.183350916
19,5,0.192157535
19,6,0.220433587
19,7,0.240253636
19,8,0.251483621
19,9,0.256124111
19,10,0.255278511
19,11,0.258124678
19,12,0.258722786
19,13,0.260125245
19,14,0.255371321
19,15,0.253607935
19,16,0.257691566
19,17,0.258815596
19,18,0.254628842
19,19,0.252937642
19,20,0.246760634
19,21,0.232137934
19,22,0.216349956
19,23,0.202851286
20,0,0.191353183
20,1,0.186073337
20,2,0.18294874
20,3,0.183124048
20,4,0.186723005
20,5,0.196643342
20,6,0.225393755
20,7,0.244368203
20,8,0.255340384
20,9,0.26108428
20,10,0.262919851
20,11,0.266725053
20,12,0.266838487
20,13,0.266673492
20,14,0.260156182
20,15,0.257351263
20,16,0.259784942
20,17,0.260218055
20,18,0.254948521
20,19,0.251679553
20,20,0.243821657
20,21,0.229467074
20,22,0.212998491
20,23,0.199654504
21,0,0.187671728
