day_of_year,hour,production_per_kw
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0.01
1,8,0.019
1,9,0.037
1,10,0.09
1,11,0.136
1,12,0.13
1,13,0.037
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0.006
2,8,0.02
2,9,0.029
2,10,0.038
2,11,0.043
2,12,0.045
2,13,0.028
2,14,0.001
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0.032
3,8,0.094
3,9,0.14
3,10,0.157
3,11,0.196
3,12,0.133
3,13,0.063
3,14,0.005
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0.173
4,8,0.279
4,9,0.343
4,10,0.322
4,11,0.198
4,12,0.074
4,13,0.018
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0.005
5,8,0.018
5,9,0.031
5,10,0.04
5,11,0.041
5,12,0.041
5,13,0.026
5,14,0.001
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0.109
6,8,0.25
6,9,0.293
6,10,0.223
6,11,0.162
6,12,0.114
6,13,0.06
6,14,0.006
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0.103
7,8,0.264
7,9,0.493
7,10,0.584
7,11,0.536
7,12,0.384
7,13,0.19
7,14,0.023
7,15,0
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
7,22,0
7,23,0
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0.02
8,8,0.04
8,9,0.045
8,10,0.036
8,11,0.03
8,12,0.022
8,13,0.016
8,14,0.002
8,15,0
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
8,21,0
8,22,0
8,23,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0.028
9,8,0.083
9,9,0.147
9,10,0.228
9,11,0.244
9,12,0.155
9,13,0.062
9,14,0.004
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
9,21,0
9,22,0
9,23,0
10,0,0
10,1,0
10,2,0
